X,Y
جب پوچی کے مالک بوڑھے کو معلوم ہوا تو وہ بہت دکھی ہوا۔,جب پوچی کے مالک بوڑھے کو معلوم ہوا تو وہ بہت دکھی ہوا۔
اس نے پوچی کی لاش کو گاڑ کر وہاں پر ایک پیڑ اگا دیا۔,اس نے پوچی کی لاش کو گاڑ کر وہاں پر ایک پیڑ اگا دیا۔
حیرانی کی بات کہ دو دن میں ہی وہ بڑھ کر پورا پیڑ بن گیا۔,حیرانی کی بات کہ دو دن میں ہی وہ بڑھ کر پورا پیڑ بن گیا۔
بوڑھے نے اس پیڑ کی لکڑی سے اوکھلی بنائی نئے سال کے پکوان بنانے کے لیے اس میں دھان کوٹنے لگا تو اوکھلی میں پڑا دھان سونے اور چاندی کے سکوں میں بدلنے لگا۔,بوڑھے نے اس پیڑ کی لکڑی سے اوکھلی بنائی نئے سال کے پکوان بنانے کے لیے اس میں دھان کوٹنے لگا تو اوکھلی میں پڑا دھان سونے اور چاندی کے سکوں میں بدلنے لگا۔
پڑوسی کو بھی معلوم ہوا تو وہ اوکھلی ادھار مانگ کر لے گیا۔,پڑوسی کو بھی معلوم ہوا تو وہ اوکھلی ادھار مانگ کر لے گیا۔
جب اس نے اوکھلی میں دھان کوٹے تو دھان گندگی اور کوڑے میں بدل گیا۔,جب اس نے اوکھلی میں دھان کوٹے تو دھان گندگی اور کوڑے میں بدل گیا۔
پڑوسی نے غصے میں اوکھلی کو آگ میں جلا ڈالا۔,پڑوسی نے غصے میں اوکھلی کو آگ میں جلا ڈالا۔
بوڑھے نے دکھے ہوئے دل سے جلی ہوئی اوکھلی کی راکھ اکٹھا کی اور اسے اپنے آنگن میں چھڑک دیا۔,بوڑھے نے دکھے ہوئے دل سے جلی ہوئی اوکھلی کی راکھ اکٹھا کی اور اسے اپنے آنگن میں چھڑک دیا۔
وہ راکھ جہاں جہاں پڑی وہاں سوکھی گھاس ہری ہو گئی اور سوکھے ہوئے پیڑوں کی ڈالیاں پھولوں سے لد گئیں۔,وہ راکھ جہاں جہاں پڑی وہاں سوکھی گھاس ہری ہو گئی اور سوکھے ہوئے پیڑوں کی ڈالیاں پھولوں سے لد گئیں۔
اسی وقت وہاں سے بادشاہ کی سواری نکل رہی تھی۔,اسی وقت وہاں سے بادشاہ کی سواری نکل رہی تھی۔
بادشاہ نے پھولوں سے لدے پیڑوں کو دیکھا۔,بادشاہ نے پھولوں سے لدے پیڑوں کو دیکھا۔
اس کا دل خوش ہو گیا اور اس نے بوڑھے کو اشرفیوں کی تھیلی انعام میں دی۔,اس کا دل خوش ہو گیا اور اس نے بوڑھے کو اشرفیوں کی تھیلی انعام میں دی۔
حاسد پڑوسی نے یہ دیکھا تو بچی ہوئی راکھ اٹھالی اور بادشاہ کے راستے میں جاکر ایک سوکھے پیڑ پر راکھ ڈالی۔,حاسد پڑوسی نے یہ دیکھا تو بچی ہوئی راکھ اٹھالی اور بادشاہ کے راستے میں جاکر ایک سوکھے پیڑ پر راکھ ڈالی۔
پیڑ ویسا ہی ٹھنٹ بنا رہا پر راکھ اڑ کر بادشاہ کی آنکھوں میں جا پڑی۔,پیڑ ویسا ہی ٹھنٹ بنا رہا پر راکھ اڑ کر بادشاہ کی آنکھوں میں جا پڑی۔
بادشاہ کے سپاہیوں نے اسے پکڑ لیا اور اسے خوب پیٹا۔,بادشاہ کے سپاہیوں نے اسے پکڑ لیا اور اسے خوب پیٹا۔
بوڑھا آس پڑوس میں پھول والے دادا جی کے نام سے مشہور ہو گیا۔,بوڑھا آس پڑوس میں پھول والے دادا جی کے نام سے مشہور ہو گیا۔
۔,۔
ایک دفعہ کا ذکر ہے کہ ایک شہزادہ تھا جو صرف کسی شہزادی ہی سے شادی کرنا چاہتا تھا لیکن وہ ایک اصلی شہزادی ہونی چاہئے تھی۔,ایک دفعہ کا ذکر ہے کہ ایک شہزادہ تھا جو صرف کسی شہزادی ہی سے شادی کرنا چاہتا تھا لیکن وہ ایک اصلی شہزادی ہونی چاہئے تھی۔
اس نے پوری دنیا کا سفر کیا تاکہ ایسی شہزادی کو تلاش کر سکے۔,اس نے پوری دنیا کا سفر کیا تاکہ ایسی شہزادی کو تلاش کر سکے۔
لیکن وہ جو چاہتا تھا وہ اسے کسی بھی جگہ نہ ملی۔,لیکن وہ جو چاہتا تھا وہ اسے کسی بھی جگہ نہ ملی۔
ان کے متعلق ہمیشہ کوئی نہ کوئی ایک بات ایسی ہوتی جو ویسی نہ ہوتی جیسی ہونی چاہئے تھی۔,ان کے متعلق ہمیشہ کوئی نہ کوئی ایک بات ایسی ہوتی جو ویسی نہ ہوتی جیسی ہونی چاہئے تھی۔
سو وہ گھر لوٹ آیا اور اداس رہنے لگا۔,سو وہ گھر لوٹ آیا اور اداس رہنے لگا۔
کیونکہ اسے بہت خواہش تھی کہ اسے ایک اصلی شہزادی مل جائے۔,کیونکہ اسے بہت خواہش تھی کہ اسے ایک اصلی شہزادی مل جائے۔
اچانک محل کا دروازہ کھڈکھٹائے جانے کی آواز سنائی دی اور بوڑھا بادشاہ اسے کھولنے کے لیے خود گیا۔,اچانک محل کا دروازہ کھڈکھٹائے جانے کی آواز سنائی دی اور بوڑھا بادشاہ اسے کھولنے کے لیے خود گیا۔
یہ ایک شہزادی تھی جو وہاں باہر دروازے کے سامنے کھڑی تھی۔,یہ ایک شہزادی تھی جو وہاں باہر دروازے کے سامنے کھڑی تھی۔
لیکن اف خدایا! بارش اور ہوا نے اس کا حلیہ کیسا بنا دیا تھا۔,لیکن اف خدایا! بارش اور ہوا نے اس کا حلیہ کیسا بنا دیا تھا۔
"’’اچھا، چلو ٹھیک ہے! ہم جلد ہی پتا لگا لیں گے۔","’’اچھا، چلو ٹھیک ہے! ہم جلد ہی پتا لگا لیں گے۔"
اس بستر پر شہزادی کو سلایا گیا۔,اس بستر پر شہزادی کو سلایا گیا۔
صبح انہوں نے اس سے پوچھا کہ وہ رات کیسے سوئی تھی۔,صبح انہوں نے اس سے پوچھا کہ وہ رات کیسے سوئی تھی۔
"’’اوہ، بہت ہی بری طرح سے!‘‘ اس نے کہا۔","’’اوہ، بہت ہی بری طرح سے!‘‘ اس نے کہا۔"
’’میں اپنی آنکھیں شاید ساری رات بند نہیں کر سکی۔,’’میں اپنی آنکھیں شاید ساری رات بند نہیں کر سکی۔
جہاں اسے ابھی بھی دیکھا جا سکتا ہے بشرطیکہ کسی نے اسے وہاں سے چوری نہ کر لیا ہو۔,جہاں اسے ابھی بھی دیکھا جا سکتا ہے بشرطیکہ کسی نے اسے وہاں سے چوری نہ کر لیا ہو۔
"دیکھا، اسے کہتے اصلی کہانی۔","دیکھا، اسے کہتے اصلی کہانی۔"
ایک سپاہی تھے۔,ایک سپاہی تھے۔
وہ کہیں سے چلے آتے تھے۔,وہ کہیں سے چلے آتے تھے۔
اس نے دیکھا۔,اس نے دیکھا۔
تو ادھر ادھر کوئی نظر نہ آیا۔,تو ادھر ادھر کوئی نظر نہ آیا۔
بھینا کھیت سری نے کہا ہے بھینا راہ سری تو مر گئی۔,بھینا کھیت سری نے کہا ہے بھینا راہ سری تو مر گئی۔
کہ ہے ہے بھینا گھورے تلے آئیں۔,کہ ہے ہے بھینا گھورے تلے آئیں۔
ہے ہے بھینا چھکڑے تلے آئیں۔,ہے ہے بھینا چھکڑے تلے آئیں۔
ہے ہے بھینا اونٹوں تلے آئیں‘‘۔,ہے ہے بھینا اونٹوں تلے آئیں‘‘۔
یہ کہہ کر چوہیا اپنے کھیت میں اتر گئی۔,یہ کہہ کر چوہیا اپنے کھیت میں اتر گئی۔
سپاہی اپنے گھر چلا آیا۔,سپاہی اپنے گھر چلا آیا۔
جب سپاہی کھانے پینے سے فارغ ہوکر اپنے بال بچوں میں بیٹھا۔,جب سپاہی کھانے پینے سے فارغ ہوکر اپنے بال بچوں میں بیٹھا۔
تو بیوی سے کہا کہ بیوی ایک ہم نے بڑا اچنبا دیکھا۔,تو بیوی سے کہا کہ بیوی ایک ہم نے بڑا اچنبا دیکھا۔
بیوی نے پوچھا میاں کیا دیکھا؟ کہا بیوی میں چلا آتا تھا۔,بیوی نے پوچھا میاں کیا دیکھا؟ کہا بیوی میں چلا آتا تھا۔
میں نے ادھر ادھر دیکھا۔,میں نے ادھر ادھر دیکھا۔
مجھے کوئی نظر نہ آیا۔,مجھے کوئی نظر نہ آیا۔
میں نے پھر گھوڑا ہانکا۔,میں نے پھر گھوڑا ہانکا۔
پھر آواز آئی۔,پھر آواز آئی۔
دیکھتا کیا ہوں کہ ایک چوہیا کھیت کی مینڈیر پر پھدک رہی ہے۔,دیکھتا کیا ہوں کہ ایک چوہیا کھیت کی مینڈیر پر پھدک رہی ہے۔
بھینا کھیت سری نے کہا ہے۔,بھینا کھیت سری نے کہا ہے۔
بھینا راہ سری تو مر گئی۔,بھینا راہ سری تو مر گئی۔
ہے ہے بھینا چھکڑے تلے آئیں ہے ہے بھینا اونٹوں تلے آئیں‘‘۔,ہے ہے بھینا چھکڑے تلے آئیں ہے ہے بھینا اونٹوں تلے آئیں‘‘۔
رو پیٹ کر وہ بی چوہیا پھر چکی تلے گھس گئیں۔,رو پیٹ کر وہ بی چوہیا پھر چکی تلے گھس گئیں۔
سپاہی نے بیوی سے کہا۔,سپاہی نے بیوی سے کہا۔
جیسا یہ تماشا تم نے اب دیکھا۔,جیسا یہ تماشا تم نے اب دیکھا۔
ویسا ہی تماشا میں نے تب دیکھا تھا۔,ویسا ہی تماشا میں نے تب دیکھا تھا۔
ننھی شیلا ایک دن اپنی گڑیوں کے لئے چائے بنا رہی تھی۔,ننھی شیلا ایک دن اپنی گڑیوں کے لئے چائے بنا رہی تھی۔
کہ یکایک اس کے گھر کے دروازے پر دستک ہوئی۔,کہ یکایک اس کے گھر کے دروازے پر دستک ہوئی۔
شیلا نے خیال کیا کہ اس کی کوئی سہیلی اس سے ملنے آئی ہے۔,شیلا نے خیال کیا کہ اس کی کوئی سہیلی اس سے ملنے آئی ہے۔
لیکن جب اس نے دروازہ کھولا تو دیکھا کہ ایک عورت اپنے تین بچوں کو گود میں لئے کھڑی ہے۔,لیکن جب اس نے دروازہ کھولا تو دیکھا کہ ایک عورت اپنے تین بچوں کو گود میں لئے کھڑی ہے۔
شیلا اسے مسکراتا دیکھ کر کہنے لگی۔,شیلا اسے مسکراتا دیکھ کر کہنے لگی۔
واپس آئی تو دیکھا کہ اس کی خوبصورت مہمان غائب ہے۔,واپس آئی تو دیکھا کہ اس کی خوبصورت مہمان غائب ہے۔
لیکن غسل خانہ خوشبوؤں سے مہک رہا ہے۔,لیکن غسل خانہ خوشبوؤں سے مہک رہا ہے۔
اسے دیکھتے ہی شیلا کے منہ سے مارے خوشی کے ایک چیخ نکل گئی۔,اسے دیکھتے ہی شیلا کے منہ سے مارے خوشی کے ایک چیخ نکل گئی۔
اس نے دوڑ کر اسے پہن لیا۔,اس نے دوڑ کر اسے پہن لیا۔
دستانہ پہنتے ہی وہ ایک اور ہی دنیا میں پہنچ گئی۔,دستانہ پہنتے ہی وہ ایک اور ہی دنیا میں پہنچ گئی۔
اس نے دیکھا کہ وہ بالائی کے ایک پہاڑ پر کھڑی ہے جس سے دودھ کی ندیاں نیچے کو بہہ رہی ہیں۔,اس نے دیکھا کہ وہ بالائی کے ایک پہاڑ پر کھڑی ہے جس سے دودھ کی ندیاں نیچے کو بہہ رہی ہیں۔
پہاڑ پر چاندی کے چھوٹے چھوٹے چمچے بھی بکھرے تھے۔,پہاڑ پر چاندی کے چھوٹے چھوٹے چمچے بھی بکھرے تھے۔
شیلا نے ایک چمچہ اٹھا لیا اور بالائی کے پہاڑوں کی مزہ دار چوٹیاں کھانے لگی۔,شیلا نے ایک چمچہ اٹھا لیا اور بالائی کے پہاڑوں کی مزہ دار چوٹیاں کھانے لگی۔
بالائی کھانے کے بعد اسے پیاس محسوس ہوئی تو وہ نیچے اتر آئی۔,بالائی کھانے کے بعد اسے پیاس محسوس ہوئی تو وہ نیچے اتر آئی۔
ہر طرف باغ ہی باغ نظر آ رہے تھے۔,ہر طرف باغ ہی باغ نظر آ رہے تھے۔
اس نے ایک فوارے سے شربت کا ایک گلاس پیا۔,اس نے ایک فوارے سے شربت کا ایک گلاس پیا۔
پھر دوسرے فوارے سے پھر تیسرے فوارے سے کیونکہ ہر فوارے کے شربت کا مزہ نیا تھا۔,پھر دوسرے فوارے سے پھر تیسرے فوارے سے کیونکہ ہر فوارے کے شربت کا مزہ نیا تھا۔
اس کے بعد شیلا نے باغ کو غور سے دیکھنا شروع کیا۔,اس کے بعد شیلا نے باغ کو غور سے دیکھنا شروع کیا۔
معلوم ہوا کہ اس میں چہکنے والے پنچھی بھی مٹھائی کے ہیں۔,معلوم ہوا کہ اس میں چہکنے والے پنچھی بھی مٹھائی کے ہیں۔
ایک کوئل اور ایک بلبل شیلا نے پکڑکر کھائی اور پھر آگے بڑھی۔,ایک کوئل اور ایک بلبل شیلا نے پکڑکر کھائی اور پھر آگے بڑھی۔
آگے ایک بڑا خوبصورت بازار آ گیا۔,آگے ایک بڑا خوبصورت بازار آ گیا۔
جس میں ہر طرف پریاں ہی پریاں نظر آتی تھیں۔,جس میں ہر طرف پریاں ہی پریاں نظر آتی تھیں۔
شیلا ان میں جاگھسی اور بازار کا تماشا دیکھنے لگی۔,شیلا ان میں جاگھسی اور بازار کا تماشا دیکھنے لگی۔
دکانوں پر بڑی بڑی عجیب چیزیں بک رہی تھیں۔,دکانوں پر بڑی بڑی عجیب چیزیں بک رہی تھیں۔
چاکلیٹ اور طرح طرح کے کھلونے۔,چاکلیٹ اور طرح طرح کے کھلونے۔
یکایک شیلا کو ستارہ پری اپنے بچوں کے ساتھ ایک دکان پر کھڑی نظر آئی۔,یکایک شیلا کو ستارہ پری اپنے بچوں کے ساتھ ایک دکان پر کھڑی نظر آئی۔
وہ ایک دکان سے اپنے بچوں کے لئے نرگس کے پھول چرا رہی تھی۔,وہ ایک دکان سے اپنے بچوں کے لئے نرگس کے پھول چرا رہی تھی۔
شیلا چلاکر بولی ’’ستارہ پری دکان دار کے پھول کیوں چرارہی ہو۔,شیلا چلاکر بولی ’’ستارہ پری دکان دار کے پھول کیوں چرارہی ہو۔
جو کچھ سوچ رہی ہو نہ سوچو۔,جو کچھ سوچ رہی ہو نہ سوچو۔
جو کچھ دیکھ چکی ہو بھول جاؤ۔,جو کچھ دیکھ چکی ہو بھول جاؤ۔
شیلا ڈر گئی۔,شیلا ڈر گئی۔
اس نے آنکھیں پھاڑ پھاڑ کر چاروں طرف دیکھنا شروع کیا۔,اس نے آنکھیں پھاڑ پھاڑ کر چاروں طرف دیکھنا شروع کیا۔
اب وہاں کچھ بھی نہ تھا۔,اب وہاں کچھ بھی نہ تھا۔
وہ اپنے بستر پر لیٹی تھی۔,وہ اپنے بستر پر لیٹی تھی۔
اس کے بھیا کا سفید مرغا ککڑوں کوں ککڑوں کوں کر رہا تھا۔,اس کے بھیا کا سفید مرغا ککڑوں کوں ککڑوں کوں کر رہا تھا۔
کہ آسمان پر صبح کا ستارہ اس کی طرف دیکھ دیکھ کر شرارت سے مسکرا رہا تھا۔,کہ آسمان پر صبح کا ستارہ اس کی طرف دیکھ دیکھ کر شرارت سے مسکرا رہا تھا۔
ایک لکڑہارا تھا۔,ایک لکڑہارا تھا۔
وہ لکڑیاں بیچ کر اپنا پیٹ پالتا تھا۔,وہ لکڑیاں بیچ کر اپنا پیٹ پالتا تھا۔
ایک دن لکڑہارے کی کلہاڑی کھو گئی۔,ایک دن لکڑہارے کی کلہاڑی کھو گئی۔
اس کے پاس اتنے پیسے نہ تھے کہ دوسری کلہاڑی خرید لیتا اس نے سارے جنگل میں کلہاڑی ڈھونڈی لیکن کہیں نہ ملی۔,اس کے پاس اتنے پیسے نہ تھے کہ دوسری کلہاڑی خرید لیتا اس نے سارے جنگل میں کلہاڑی ڈھونڈی لیکن کہیں نہ ملی۔
تھک ہار کر وہ رونے لگا۔,تھک ہار کر وہ رونے لگا۔
اچانک درختوں کے پیچھے سے ایک جن نکلا۔,اچانک درختوں کے پیچھے سے ایک جن نکلا۔
اس نے کہا۔,اس نے کہا۔
خدا کے لئے کہیں سے ڈھونڈ کر لاکر دو‘‘ لکڑہارے نے کہا۔,خدا کے لئے کہیں سے ڈھونڈ کر لاکر دو‘‘ لکڑہارے نے کہا۔
جن ایک دم غائب ہو گیا اور تھوڑی دیر بعد ایک سونے کی کلہاڑی لے کر واپس آیا۔,جن ایک دم غائب ہو گیا اور تھوڑی دیر بعد ایک سونے کی کلہاڑی لے کر واپس آیا۔
"اس نے لکڑہارے سے کہا ’’لو، میں تمہاری کلہاڑی ڈھونڈ لایا ہوں۔","اس نے لکڑہارے سے کہا ’’لو، میں تمہاری کلہاڑی ڈھونڈ لایا ہوں۔"
وہ تو لوہے کی تھی۔,وہ تو لوہے کی تھی۔
‘‘ لکڑہارا بولا۔,‘‘ لکڑہارا بولا۔
جن پھر غائب ہو گیا اور اب وہ چاندی کی کلہاڑی لے کر آیا۔,جن پھر غائب ہو گیا اور اب وہ چاندی کی کلہاڑی لے کر آیا۔
"اس نے کہا ’’لو، یہ تمہاری کلہاڑی ہے۔","اس نے کہا ’’لو، یہ تمہاری کلہاڑی ہے۔"
یہ نہیں ہے۔,یہ نہیں ہے۔
